"","text"
"1828"," go      awesome sound beautiful build    really good "
"1829","everything  average    call someone  talk   get outside voice clearly except  mic sucks "
"1830","sounds quality    good also  plastiki built     durable price doesnt meets  expectations "
"1831","simple device  adequate sound quality  battery backup definitely worth  pricelove  ease  use  workouts "
"1832","good qualityworth buy "
"1833"," product   good "
"1834","   little white noise   time  listening   earphones  annoying "
"1835","battery life   good sound quality  awesome "
"1836","  good product   priceone side   headset   working   using one month "
"1837"," good product pretty sound quality good bass noise cancellation works good comfortable  casual use fast delivery  original product thanks  amazon "
"1838","fantastic earphone  music lover noise cancellation   poor  person  getting  background noise instead   voice  facing voice crackling issue    earphone "
"1839","  superb fine product good enough battery life   one thing   dont agree  use     gaming like pubg   sound comes little bit later thin  actual sound "
"1840","overall best productthe  demerit  feel  manufacturing quality    made little hard wire  also  thin bt  terms  sound  bass  doubt best product "
"1841","earphones  good   price tag compare   earphones    bass  also service  good  amazonseller     good  bike riding bcs    lite weight "
"1842","good sound quality battery part  still needs  check   note  pro nice flexible  extra ear holder  required  case earholder  lost   pain  use without  "
"1843"," worth  every penny  pay  nice noise cancellation  sound quality  problem    package   seal pack   problem  amazonoverall good product "
"1844","  dam good product   heavy bass  awesome sound quality bluetooth range    enough ignore  fake reviews  product   range  give  performence "
"1845","little big   ears "
"1846"," dont think  seller delivered  original product sound quality   bad  bass effect   great   dont feel like   boat product "
"1847"," bought  yesterday  big billon day sale sound quality  perfect "
"1848","overall sound performance     expect  worst thing     battery issuepoor battery power used many products   incompetent   price "
"1849","pros great sound quality value  money easy pairingcons difficult  fit small ears battery   go bit longer "
"1850","boat rockerz  sound quality  superb  superb bass  supports voice assistant also  suggest everyone  buy  wireless inear headphone  got     "
"1851"," nice   price range "
"1852","sound quality  greatbattery life  per  usage lasts    daysdurable one "
"1853","okay  watching videos   good  listening music    good  calls   end finds  hard  hear  voice "
"1854","bang   buck deep bass   downfall   battery backup could   better got     sale "
"1855","love  exactly  features   mentionedlove  feel free  buy  product "
"1856","everything  fine    play music  put  phone  pocket   start lagging  sometime  disconnect    happen many tine   sick   problem "
"1857","battery  drained  somewhere  hours use "
"1858","battery lifedurable product  affordable price sound quality  especially best  listening video songs  movies  audio songsthe sound  louder "
"1859","  excellent product "
"1860"," got  headphone  rs  product  goodsound quality   nice  bass  high  music loverbattery work   hrs  full charge "
"1861","hai   ordered  item  january     months  usage one side   headset  completely  working   get  repaired   warranty "
"1862"," ok headphones   price   used sukllcandy     much better  sound quality though   bad deal   price "
"1863","  good earphone  light weight  feels awesome wearing   feels premium doesnt look cheap magnets  good  sound quality  amazing "
"1864"," product worked  smooth   mnths     earpiece stopped working n   days nd one also stopped working   customer support  mahendergarh  "
"1865","good ear phones  sound  battery  good  bluetooth connectivity range   good   put  phone  backpack  driving two wheeler disturbances  occurring "
"1866","sound  awesome fits perfectly  noise cancellation  awesome connectivity could  better   cant complain overall    great earphone "
"1867","   perfect thing   nothing  dislike "
"1868","  claimed several exchange  warranty  none   pieces works "
"1869"," using  month  quality    good    price  ok   ur ready  spend  money  would suggest go  samsung level u  good "
"1870","sound quality  good   price   sharing  opinion  using    months bass ia  good  boat products   want bass  definitely   buy  product "
"1871"," use earphones  seems noiceproof feature    good  otherwise product  superb easy  carry    great bass feature  sound quality  awesome thanks boat "
"1872","overall performance  okbut  low volume  hear   cracking sound  instrumental music   volume increases  cracking sound disappearmic quality   "
"1873","wrost product sound   low  calling  m  disappointed "
"1874"," product  meet expectations "
"1875"," poor quantity  even  three months  purchase one side   working  poor response  company  complaint even though  warranty "
"1876"," sits nicely   neck   sound quality  good enough  use   gym  outdoor areas "
"1877","boat    great job  availing  wireless headphones  affordable price "
"1878","good product    best "
"1879","quality isnt good  sound quality  bad "
"1880"," bit delicate  sensitive like earphone cables   bit lengthy  u cant get anything better   price tag   "
"1881","earphone  good onesound quality   good bass  producing  nice little bit  pain  ear  removing  earphone "
"1882","st month   running fantastic   battery  getting drain automatically nd  get switch  automatically     using time "
"1883","  using  product last  month sound quality  good  bass quality  average  battery backup  also average   price range boat rockerz   good u go   "
"1884","  exactly  daysone ear plug  stopped workingthis questions  durability   productno doubt   using extensively  atleast expected  work   year "
"1885"," waste product  noise cancellationvery poor battery backup     working   even  used  month worst product dont buy   value   money worthless "
"1886"," average sound quality decent basegood response time  sound leakageokayish battery life overall  "
"1887","  listen song  weekends  wise   busy schedulesonly worked   daysreally  changed    timesdont buy waste  money "
"1888","sound quality   disappoint     buying bluetooth headphones   first time fit may   issue  dont expect noise cancellation   good "
"1889"," great product   good quality  sound looks  dashing  comfortable battery life also good bought  rs  value  money "
"1890","worth   found  rs otherwise dont go   headphonedismantle automatically   right ears buds   days  purchase "
"1891"," one things  bugs      plug      sound  like coming   deep hole "
"1892"," havent even  months   right earphones   working   mike listen    noise  coming   metre away    voice    front   "
"1893","everything  good   week    stopped working  use  loss  money   buy "
"1894"," satisfied   product      lot  distubance   call however  good  listen  music  watch videos "
"1895","good product   affordable priceif u  want something  listen   traveling   working   u  go     price  serves  purpose "
"1896"," working well  iam using   last  monthsworthy product   price listthis   good choice   compare   jbl  others   price range "
"1897","voice connectivity  poor  person find  difficult  hear  voice bass  good although    bucks connectivity shouldnt   issue boat   look   "
"1898","sound quality  good     best things   product price  asom product   every  one  buy  product "
"1899"," earphones  superbb   received  bill    clear  think   claim  warranty period  face  issuesso please help   send  bill "
"1900"," low battery backup "
"1901","good product   price range "
"1902","earbuds come   ears  workout  automatically switches    "
"1903","excellent sound quality  wire   lengthy "
"1904","  connectivity issues     rest  good sound quality  impressive "
"1905","decent sound quality  deep bass  d surround   creating ear pain    using    hour battery indicator  showing correctly "
"1906","im changing  review  n drop  star       using   months one side  headphone   working    loose   joining section   headphones "
"1907","connectivity  good sound  good   scale    would rate   fabulous bass "
"1908","good sound effect pretty good battery easy  operate "
"1909","awesome output   battery indications  need  work   drains quickly     "
"1910","awesome product  superb immersive bass boosted effect including dolby nice fit  ear "
"1911","best product ever "
"1912","  idiots boat  giving  chip  rockerz   given  one  chip wtf "
"1913","good useful productgood voice clarity "
"1914","  earphone   two week point one  mic  second  blutooth contivityapart  two things   best eaprhone   price "
"1915","dont buy  product  bad quality damage   days battery back    hour    get return   customer service  cheating "
"1916","product   compatible  android  listener   able  hear  voice    asked  replacement  still   working   want  money back "
"1917","sound quality   good also battery  worst   battery     started giving  battery low mic   wirst part    useful  calls "
"1918","dont buy  product    bought  four month    one side hearing   working properly  please dont buy  one waste  money  "
"1919","overrated  bass   valur  money certainly    rupeesdetailed review coming soon "
"1920","  goodquality  sounds better  mi "
"1921"," playing songs  pitching  unable  hear  audio properly maybe  got  defective piece "
"1922"," good    best   "
"1923","best product  best battery back  worth    "
"1924"," broke  easilyneed replacementasaplow qualitydamaged   already "
"1925","  great product  made life much simpler    hassles   wire connected   phone   time battery lasts almost  entire day good sound  complaints "
"1926","best earphones   ever used nice sound quality nice build quality "
"1927"," brought  product   jan    one side  earphone  working    one year replacement warranty   product    contact  warranty information "
"1928"," quality   good   days  using sound stopped coming  one speaker  viewing closely  found  wire got   one connection definitely poor quality "
"1929"," want  return      able  make return   returning  mic   poor "
"1930","goodbut better go  something    playback time   respect  charge   respect  cost awesome product "
"1931"," design   great  wires   ear plugs    long  strat    end   neckband battery life  ok "
"1932"," product  really amazingbuild quality  also awesomeand finishing  also sperband sound quality  bass   extra "
"1933","love   comfort   freedom  get   bluetooth headset  truly worth  price  got     offer    even  amazing "
"1934","good product  go      thing  cable   long "
"1935","perfect   priceworking well "
"1936"," second pair first stopped working  one side  using  five monthsoverall good  bassheads "
"1937","excellent product bass effect  sound quality  amazing "
"1938","good performance sound quality  good builddesignmaterial  good connectivity  good dual bt connection  faulty   mi max  phone   good product "
"1939"," sound quality   earphone   good   month     side   earphone  low    sidereally disappointed  boat  amazon "
"1940"," output  intermittent  able  hear  favorite songs interested  return  "
"1941","sound quality  awesome   battery     good disconnecting   rode  bike  kmph    "
"1942","  good thing "
"1943","got   rs    diwali salefor  price  earphones   steal "
"1944"," one   best   comfortable bluetooth earphones  convenient  gym  day  day use long battery life  easy maintenance budget friendly  love  "
"1945","event   overnight charge battery gives  life   product    minutes applied  replacement   warranty  expecting  quick response   "
"1946","cant say  great product  worth  every penny   price range  good product  fascinating thing    honor play  shows battery percentage   bluetooth "
"1947"," say  defect  quality   product improvement needed "
"1948"," earpiece   working    months dont buy "
"1949","  price  earphones  best option  buy sound  really good  noice cancelation   good definitely    going  hear  side sound "
"1950","sound quality  excellent   hear clearly even  noisy environments     heard clearly  ear piece fits securely  comfortably  "
"1951","good product   price range fits well  ears long battery life   great sound quality could   better "
"1952"," purchased    offer  product  absolutely worth   good   price amazon delivery service  worst "
"1953","best bluetooth earphone   price range sound clarity  amazing  enough bass battery life  superb "
"1954","value  money "
"1955","nice earphone gives battery backup   hrson continue listening  music  high vol  bass   heavy   vocal gets slow due  bass  nice sound "
"1956","  things  good like battery comfort connection settings  sound quality  give        price  great go buy  "
"1957"," u r  bass lovers  go    noise cancellation   gud    months  using battery problem occurs  automatic bluetooth  occurs  sweat  "
"1958","ear buds  fit perfectlyand   times disturbing  pain "
"1959","sound quality verry good   use    workout   problem  back side made  hard rubber doesnt bends sometimes make   difficult task  handle "
"1960","noise cancellation  good    months earphones stopped working     useless  paying  much   cant use     months    waste  money "
"1961","   week  using   volume keys stopped working  earphone volume  suddenly reduced  zero  playing music also  disconnects    nowhere "
"1962"," good product worth  money light weight easy  carry    looking   product  gift someone  would   best choice without  harsh   pocket d "
"1963","good earphones  good sound quality  better battery life  sure  noise cancellation "
"1964","  value  money "
"1965","excellent bass sound clarity along  high class built quality    reasonable rate  rs  "
"1966"," worst product sold  amazon   got replaced  product  times  still worst performance dont even  buying  product ever    good "
"1967","  nice design sound quality  good     lot  base causing   sometimes buzzit    nice fitting definitely   sporty "
"1968","worst  local  rupees headphones "
"1969","nice bluetooth headset  good battery life boat products  always  good  sound quality  got      deal price great buy   price "
"1970","good soundbit costlyless battery life "
"1971","getting  noice   door   end caller  hearing sounds   speak  device captures surrounding sound  good   door "
"1972","good battery life  hrsgood sound qualityvalue  moneygood build "
"1973","super cool product  buy iti got    onlyso good  use  fit tight "
"1974","  month  sound start breaking  tried  contact customer care number  provided  amazon    number   reachable  dont know     "
"1975"," good wireless earphones   decent sound quality  battery life    much happy   bluetooth range  mean  okay around m   expected  "
"1976","purchased      electrifying dealaound quality  battery backup    expected "
"1977","received earphones instead  bluetooth headset even  box  crumbled requesting  replacement "
"1978","happy   purchase   sound output   good got   k  deal   day thank  amazon  "
"1979","good   price range "
"1980"," ill free  wires "
"1981","decent enough   money  spend "
"1982","one star beacuse one ear stop working   month "
"1983","  completed  month  right side earn phone automatically    request u amazon  u share warranty card  replacement card     go service center "
"1984"," bought   month back   month  right   headphone stop  work  within  months  time   part right  left   workingits  consistent "
"1985"," range noise cancellation bass sound quality  battery life  good  welcome  good bye messages  creative  little expensive   wont regret buying  "
"1986"," bought   december    worked fine    months   one   earpieces stopped working  months  customer care  nonresponsive "
"1987","first sound quality   good   pricebattery life  decent   comes    hrsi use randomly  music  callsyou  blindly go   "
"1988","quite good   bit expensive "
"1989","sound quality  good   u talking   one else  call mouth speaker catch outside sound    noisy  person    call "
"1990","sound quality  goodwithin one month one side headphone  workdo  buy  product   wastage  moneywithin one month one side  working  "
"1991","super choice user comfortable design  outstanding performance  got    offer price also worth   original price    happy "
"1992","worth   price paring   second device seems   bit difficult   u got used     fine  "
"1993","wow superb voice quality buying awesome thanks  amazon "
"1994","better  go  headset     troubles  ear fitting  irritation issuesproduct  good "
"1995","  amazing sound quality  amazing bass   right side   headphone goes bad    months  repalced  oncebut  problem occured   second earphone  well "
"1996","good  price   paid   lack  sound clarity "
"1997"," didnt expect     good great fitting   comfortable  workouts  general use "
"1998","value  money product got    bucks comfortable fit  mic positioning  well done bass  nicely maintained overall  "
"1999"," nice product "
"2000","good productonce music turned     hear  single word  outside worldquality    expected  cannot complain   get  product    inr "
"2001"," good product battery life  good   range  loved  thank  amazon "
"2002","  days  usage suddenly one   ear phone mic  broken  lost     return  replace   days  crossed build quality   poor "
"2003"," earphones  handy  amazing sound quality  basshowever  would  helpful   provided additional ear buds  support piece along   packaging "
"2004","mind blowing headphonei like boat "
"2005","got    discount "
"2006"," felt  heavy  ear also doesnt fit well  ear   headache within  mins  use "
"2007","  months   bluetooth headphone   worked really well  right speaker  stopped working kindly suggest  found service centre nearby "
"2008","  one   best wireless earphonesit   perfect smooth bass effectsound output would  great  poweramp music player  equalizer setting "
"2009","value  money product    buying   k battery life  sound quality  amazing im using  product  last  weeks  till   working nice  "
"2010"," good  u get  sale    "
"2011","everything  good   one side  earphones started  go sooni bought      went  like  within  months  purchasing "
"2012"," bass  sound quality   par   better   branded earphones  costs  least twice  much  bass gave  goosebumps "
"2013","used     hourssound  good   con  faced   tha magnetic capabilities   storng enough     lost easily "
"2014","till   working except sometime  microphone creates unnecessary disturbance due   person    end cannot hear  properly "
"2015","  budget   k  u  definitely go  itonly found two issues  far  range  bluetooth  built quality "
"2016","best products   pricethe headphones  sover finishingthe sound quality  bass   good depends  equaliser battery back   hr  full sound "
"2017"," earphones  perfect   budgetthe sound quality  nice    base   earphone   high due   clearity   sound  affected "
"2018","according   price   better one    use   high volume  irritates  noise cancellation    good  "
"2019","ok product sometime  takes  time  pairing  sometime   auto disconnecting also  sound quality  good "
"2020","boat never compromise  sound quality  battery lasts whole day noise cancellation  pretty good   worth cost "
"2021","sound quality   goodbattery backup    goodif want  good battery backup   slightly compromise  sound quality  u  go  boult earphones "
"2022","sound quality could   better otherwise  good buy "
"2023","   first bluetooth earphone    pretty impressed sound quality  awsome  battery life  also  good  got    "
"2024","bass   good perfect   music lover   comfortable "
"2025"," bad product stopped working exactly   months use "
"2026","good  gym "
"2027"," bluetooth keeps  disconnecting "
"2028"," nice bass good backup "
"2029","every thing  perfect  one problem   battery backup battery backup   lowand didnt expected "
"2030","gud product  best prizegud bass voice clarity  noise control superb  thanks amazon timely deliver "
"2031","dont buy  product    connection problemif   user  mi mobile  also   pair continue  time  next   goes automatically power  "
"2032"," overall look  decent comes   great sealed packaging  wish  bass sound quality would   slightly better  compared  d jbls n d skullcandys "
"2033","awesome sound loved  using   work outs "
"2034","super strong sound quality "
"2035"," earpiece brings  great comfort  using     long lasting battery life   great  using satisfied   product  "
"2036","extremely worst package seem  opened  someonevery unsatisfied  packageproduct  good  dont know  used   "
"2037","powerful voice deep bass effect long battery life "
"2038","got    via sale  really loving  "
"2039","  chargingits showing battery life  low    plug  charge  shows blue led light  "
"2040","sound quality   good  reception  bad  conpared   bluetooth earphonesif  phone    pockets   audio  start buffering "
"2041","descent sound  build quality everage battery life    comfortable "
"2042","horrible product  right speaker stopped working   months  purchase battery drains    hrs save    scam  dont go   "
"2043","  awesome sound qly superb  flexible  driving without support  cannot  stablebut   grt product "
"2044","nd boat product affordable  good "
"2045"," good product sound reproduction  amazing  optimal bass  ear buds causes pain  long use "
"2046","awesome water resistancegood sound quality practical item  economic also "
"2047","good earphone  small issue  battery backup  good earphone    use  rarely "
"2048"," bluetooth earphone   amazing bass  sound quality   wow awsome excellent   product  value  money beast bass bass bass wow mind blowing "
"2049","worst ever headphone  buy   play music  right side   feels like  going  make  deaf  one side  bass  nothing "
"2050"," product one side  working one side good condition  another site  working   change  bluetooth ear please inform   "
"2051","  months  one beat  high node one side earphone went deaf  applied  replacement lets see "
"2052","good bass good  calling  battery  good hour charging hour usage light weight fast bluetooth connection  love  product build quality good  price range "
"2053","money worthy  bass   cost      satisfied  thisbut  driving  might get  less noise cancellation otherwise awesome product  boat "
"2054","sounds superb considering  price  got     looks  good  "
"2055","awesome sound "
"2056","good battery sound cons bluetooth disconnecting  mobile  pant pockets wondering  happens   range   needs   done "
"2057","nice product "
"2058","good product battery  also good upto  hrs bass also good overall nice   budget "
"2059","sound quality   good   price   ear buds doesnt fit  ear  want  return  producti ll go   wired headphone instead "
"2060","   post  pics   headphone  already awesomejust listen  song   pic  youtube    find   true worth   producd  money "
"2061"," wowi like  love itthis product   good im  happy "
"2062","great bluetooth headset  durable value  money terrific bass  problems  calls "
"2063"," quality  product      mark scale  voice  connected  bluetooth   clear  irritating voice like burrrrris continuing coming "
"2064","connectivity issues battery   good  last   hour whenever  pocket  suffer glich evrytime connectivity stops  audio   properly received "
"2065"," using  product   months    say go     built perfectly   auto turn  battery backup easy  carry button controls  much  "
"2066","awesome earphones  heavy bass  cheap pricei recommend    buyingone best one  k categoryworth buying "
"2067","great sound great connectivity good  sporting   running    great  using  running "
"2068"," saw  high reviews  decided  buy   wireless earphones  better   wired one   sound quality  amazing  use  everyday   workouts "
"2069","worthy product  sound quality  good  compared   bluetooth wireless earphones around  budgetsgood experience clear soundbass  good "
"2070","dear amazon teamproduct  good  till  month    month earphone stop working   side    selling  type  product   defective item "
"2071"," sound quality could  much better   price range "
"2072","good product "
"2073","value  money specially   nice sound  great bass built quality  also good "
"2074"," yet used  listen even  single song  started playing noise  left side  devices waiting  replacement "
"2075","lot  background noise  heard   high sound levels "
"2076","stop working    months    warranty   productplz help "
"2077","noise cancellation  goodbattery life   wasnt great  hrs maxsound quality  okbass  good "
"2078","  price range product  goodsound quality  goodbuild quality  goodbattery life  goodi  give     rating "
"2079","awesome product  boat good build great sound nioce cancellationbut   pubg becuase sound  lacking behind "
"2080","quality  good  battery   good    experience  bot boat       bass  gives pain  ear  half  hour "
"2081","connection  poor    anything   earphones  mobile phone    glitch   voice  song "
"2082"," audio quality   good battery backup  excellent    problem  distortion    speaking   call "
"2083"," good product sound quality bestthe bas also  good also prefctly fit  ear   rate  product   best "
"2084","great sound "
"2085","really nice productvalue  money  nice quality   base   good   battery life  averagei brought  one  rs "
"2086","  gave   minutes play     switching  automatically "
"2087"," bought   rs  believe     best earphones youll get   price  bass  extremely good dont think  much    order  "
"2088","sound quality  good deep bass battery life  good perfectly fits   ear even    runningcons build quality    good wires   thin "
"2089","sound quality  amazing battery life  good bass  awesome  noise cancellation  poor  ok   time music  stuck "
"2090"," headphone  good   battery backup    good "
"2091"," really like  sound quality  earphone offers  pocket friendly must recommended    go people charges pretty fast  "
"2092","   amazing product   price range  still  ok  got       average "
"2093"," good "
"2094","best earphones   price go   without  second thought "
"2095"," found   described   manufacturer "
"2096","sound  good   price     wires   long    swing around    also mic doesnt  basic noise cancellation "
"2097","purchased   calling purpose   noise cancellation   poor  returned back  sound quality  battery havent checked "
"2098","noise cancellation   effectivesound quality  good switchesoff automatically within  mins  battery low  alarm overall average product "
"2099"," fine audio quality using   months  issues worth  money "
"2100","fitting  kinda good  sounds really good "
"2101","good product  per price "
"2102","awesome "
"2103","perfect  bass loversawesome soundbest  pricedelivered  estimated timegood qualityfinally got  bluetooth headphones    searching   many days "
"2104","awesome sound   blue tooth range  lesz "
"2105","best bluetooth earphones  k worth every penny "
"2106","sound quality  awesome battery life   good  used  approximately hrs non stop  still  battery  discharged "
"2107","  thing    max input   v   today market     chargers  available  v charger boat    change  input voltage  v "
"2108","good according  cost    expected "
"2109","never buy  product battery backup  tooooo low   asked  replacement    returned     "
"2110","worst product ever used discharge   hr  matter  long u charge   u try  return    accept ur return  short u r stuck  product  bought "
"2111"," product  greater value  money good sound quality greater bass noise cancelation  also good  never think  product  going  performs    manner "
"2112","today  june bought    month  april  doesnt connect   phone  powers    reason  bought   rs  "
"2113","product delivered   sealed   already opened    sticker  removed "
"2114","excellent products  cheaper price point  comparison "
"2115"," good except  battery timeit  give  hrs backupof continuous usage   feel   less "
"2116","excellent "
"2117","need  improve sound qualityit   fit  ear perfectlyears getting pain    rubber design "
"2118","kool guys  bought     really koolif ur buyingthis  dont think anythingjst bring  ur homend moreover  opinionguys "
"2119","excellent product   price  connectivity  excellent product   near finishthe bass could   better  consider ing  price    complaining "
"2120"," ordered boat rockerz  two  half month agothe right ear bud stopped workingnow  dont know   claim  warranty becuase  pune    service center "
"2121","beautiful look  best sound effect bluetooth support nice one "
"2122"," battery backup  superbbut   earpods go  ur earits  tight  u cant hear anything  outside world even     music playing "
"2123","  good product  good sound quality   cancellation    good   work  base   good  vocals     good "
"2124","awesome earphone  great sound quality loved  core  easy  handle   durable "
"2125","superb sound quality  bass "
"2126","good quality "
"2127","packaging superb voice quality  excellent overall good product "
"2128","fantastic  phone "
"2129","decent product really bass heavy  eats   frequencies  eats     audio qualitygood battery lifegood built "
"2130"," sound quality  good     come   ears    work   mic doesnt work properly "
"2131"," bad battery backupnothing   worse  thisand earphone   comfortableits  badcan  change  "
"2132","good "
"2133","great product "
"2134","bass  awesome quality also good  dought  buy  bass lovers  low cost earphns  one  best "
"2135","bluetooth range   sufficient call earring  quality   good   nice  listening songs "
"2136"," bad  per  price sound quality   good "
"2137","sound quality batter durability make   "
"2138"," week   purchase   product   working  one side  bad quality  "
"2139","good one  great value  money "
"2140","excellent product value  money  "
"2141"," product  good  good battery life  sound quality  noise cancellation     external noise  transferred  good clarity "
"2142","sounds quality  good bt poor battery performance  shows  battery  full bt suddenly  drops  low  earphone  going  switch  "
"2143","boat bluetooth headset   good  good bass  effect  worth buying    drawback  battery backup  long call conservations "
"2144","first   great deal   price sound quality  clear bass  good dont  expect like sennheiser  great earphone within  bucks "
"2145","sound quality   good "
"2146","sound quality   nice sometimes   connectivity problem "
"2147","brilliant quality worth  price "
"2148","nice sounds "
"2149","sound quality  battery  best sets  mood    amazing music beats "
"2150"," style  build quality  good sound clarity could  better overall  good buy   budget "
"2151","  increase battery life "
"2152"," poor quality  far rate  concerned "
"2153","pretty decent noise cancellation  good bass good  work   media consumption satisfied   purchase  far "
"2154","nice one  comfortable earplugs superb sound  battery life build quality   good "
"2155","product   price range  quite goodthere   handling issues      sound  battry qulity   goodi recommend  product "
"2156","excellent battery life  guysand bass  excellentoverall    thisi recommend  every one  want  best bluetooth  budget "
"2157","good product   price good product  good voice "
"2158","best buy   buck amazing although  range   little   enough  dont think  could  considered   con   buying  rest everything  amazing "
"2159","earphones   good noise cancellation build quality bass  perfect  sometimes connection problem    allover  good "
"2160","amazing sound effect  friendly "
"2161","nice sound quality working awesome "
"2162"," using   days   bitt disappointed  left ear bud    fitable  size differ  right one  im still thinking  replacement   "
"2163","considering price point  view  good sound quality  battery backup  good  u cant go  high volume lot  distortion "
"2164","working good "
"2165","totally worthy  every penny spent bought   offer price rs blindly go   totally worth "
"2166"," boat rockerz    good value  money   problem   wires  way  long  makes  feel uncomfortable  sound quality  good "
"2167","bass   deeply   best thing   earphoneand sound quality  also good   greatvalume  also  high   okyou  buy  "
"2168"," wires   long  causes discomfort hence  design needs improvement overall  sound quality  awesome  battery life  also satisfactory "
"2169","  absolutely amazing product  perfect earphones  music lovers  must say  disconnects    world  take    musical world "
"2170","first time purchased boat products  disappointed badlysound quality  good  need improvementand aslo product quality  poor   range "
"2171","guys  go    super cool  worth  every penny   invest  wont write  features   already  details  yaa    must buy  "
"2172"," like battery performance   connectivity issues  walking   phone  example   cover bluetooths buttons portion  got disconnected "
"2173"," stopped working  one ear   customer care  non responsive "
"2174","doesnt connect  laptopbad sound qualitythe material  quite kind  ploymer  gets heated  oftennot recommended "
"2175","bluetooth connectivity  deteriorated doesnt work effectively   even  hard  uncomfortable  put  ears   longer time "
"2176","battery false indication connection disturbance poor cloth netting "
"2177"," sound quality   pumped  bass  absolute lack  clarity "
"2178"," even one month  passed    stopped working background noise  coming   gets disconnected    seconds    connected   phone "
"2179","first product delivered  faulty  got  replacement second one also doesnt work   doesnt charge horrible amazon doesnt allow returns also unbelievable "
"2180"," earphone   turn  without  plugged  power    piece     lost  invoice   dont know   replace  piece   product "
"2181"," commands  good qualities "
"2182","superb bass  mid  trebles  ok ok good  sturdy cable  hours battery life "
"2183"," like  sound quality   product  hv  using   last ten days   must say  battery life   one    good overall nice product   value  money "
"2184","good bass good comfort   thing   lagging behind  battery back  hardly  hours  battery backup  full charge "
"2185","got  pair  headphone  sale  worth every penny  looking  oneplus bullets   tend   oos always "
"2186","   second purchase "
"2187","worth  moneyboat  always  best "
"2188"," product  unserviceable  within three months  purchase dont recommend immediate buy unless   development takes place  product "
"2189"," love  product   sound quality  good durability   nice amazing  amazon   best online marketi got    "
"2190","  months right side   earpiece  nkt working otherwise built quality  great  base  superb battery backup  also amazing "
"2191","range  bluetooth   good sound    bass rather   balance disconnects  produces noise  talking  phone  long "
"2192","  purchased     months  stopped working  properly u  raised  complaint  boat service centre     replying dont buy  product "
"2193"," quality  earphones  good bass  really nice   worst thing   range    poor range     keep  mobile always close   "
"2194","  great product   performance   u r planning  use      mnths  throw  away     good "
"2195","value  money good quality recommend "
"2196","good earphone  good sound quality  good battery backup best bluetooth earphone available   price "
"2197","product  good  melodious songs   music   base songs    high beat songs  one   preferable "
"2198"," brought  seeing many reviews  youtube   excellent iam happy  boat "
"2199","didnt know much   product quality till  purchased  really happy     "
"2200","   impressed   sound quality  well  build quality   product last   hours  continued usage "
"2201","good product   range sound quality  good less comfort  ear "
"2202"," good quality comfortably looks batteryfor sounds  bazz  star "
"2203"," sound  ok  earphone fits ok   ear   cords   long "
"2204"," put  ear  fire "
"2205","  super earphonebuild quality  bass  good  comes around hours   solid  charge fits well  ears doesnt keep falling  "
"2206","okay product   rangesound quality  okay okaynoice cancellation  goodbass   goodgood  workouts though "
"2207"," happy got used n old headphone "
"2208","  good   sound quality  phone calls really disappointedother person could hear  noisy soundsall  except calling feature   good "
"2209","value  money sometimes  automatically disconnectalso  talking  battery     lots  disturbance "
"2210","product   great  sound quality   great bass lovers  love     flaw  connectivity overall  good product   price point "
"2211","great bass sounds quality  also good bass   high battery backup  good upto hrs  usage super flexible neck band "
"2212","though  quality n sound  excellent    received defective piecethe device   getting chargedso    return   look  better "
"2213","super basscrystal clear soundbatter life  goodcall quality  goodif   deep bass lover  go   "
"2214","everything  goodbattery  working good  starting stage    using  days    even working  minutes  bad quality product  boat "
"2215"," purchased    rd  april    using    month   started  problems  full charge  battery  lasting   minutes  "
"2216","good sound quality  probably  best noise cancellation  suggest   calls  listening  music  probably    best  gaming   cheers "
"2217","  good product  question  durability     work   even days  show blue colour blink    battery  full    turning  "
"2218","within one week   problem  swet entry  chottering noise issue   cant replace "
"2219","  good product   battery goes              fixed im sure  product  covered   year warranty "
"2220","  one great value  money producthighlights light weightperfect ear canal fitgood sound "
"2221","sound quality  ok  superexcell  bluetooth connectivity  excellent "
"2222","battery backup  good  takes  lot  time  charge efficiency also  high volume sound distortion   rest ok "
"2223"," product  light  connects  quickly however  bass  weak   sound quality    par  wired headsets "
"2224","  satisfied   sound quality  earphone weight    higher side  little bit uncomfortable  wear   time "
"2225","battery life drops       time  goes   without  notifications "
"2226"," battery backup  good    months  usage  feel   loudness   headphone  bit reduced "
"2227"," product  great  boat   casual usage battery lasts  days   problem     battery low reminder      annoying "
"2228","fair "
"2229","waste  money "
"2230","ok product "
"2231"," first    uncomfortable  wear  earphones  longer duration    changed  tips  larger one  comfort increased dramatically "
"2232","sound quality  goodand good    like  listen  pop  quality soundnoise cancellation  quite fair overall  product  bet  buy "
"2233","ok product   buynot worth   ok    getting      using  days   far  good lets see  durable   "
"2234","worth buy       thatfor listening songs   goodbut  calls  traffic    homeit   suggestedbattery life  good "
"2235"," got  earphones  rs   gives  price  paid    miss  mm earphones    much clarity   wireless earphones "
"2236","decent product "
"2237"," good product "
"2238","nice ear phones "
"2239","  well  problems like bluetooth connection  limited  small distance connection problem  u place    pant pocket "
"2240","sound quality    goodbut bass  well     usually listen edm  songs  high bassover    good product "
"2241","best products   range    bought     amazon sale good  goplus battery life  way better  expected "
"2242","great  every possible way     th set  sound product  boat never compromised  quality  sound n productwish boat made home theaters  "
